,,0,1,2,3,4,5,6,7,8,9,Global
source_category_clothes,count,130.0,46.0,225.0,200.0,187.0,65.0,9.0,169.0,125.0,16.0,1172.0
source_category_pets,mean,0.0,0.0,0.8444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1621160409556314
source_category_pets,std,0.0,0.0,0.3632415786283895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3687145628802287
source_category_pets,count,130.0,46.0,225.0,200.0,187.0,65.0,9.0,169.0,125.0,16.0,1172.0
source_category_realty,mean,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15017064846416384
source_category_realty,std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35739111360995746
source_category_realty,count,130.0,46.0,225.0,200.0,187.0,65.0,9.0,169.0,125.0,16.0,1172.0
source_category_rest,mean,0.0,0.0,0.0044444444444444444,0.05,0.0,0.07692307692307693,0.0,1.0,0.0,0.0,0.15784982935153583
source_category_rest,std,0.0,0.0,0.06666666666666665,0.21849186132974546,0.0,0.2685430777647873,0.0,0.0,0.0,0.0,0.36475578387486646
source_category_rest,count,130.0,46.0,225.0,200.0,187.0,65.0,9.0,169.0,125.0,16.0,1172.0
source_category_tech,mean,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.15955631399317405
source_category_tech,std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36635039584950624
source_category_tech,count,130.0,46.0,225.0,200.0,187.0,65.0,9.0,169.0,125.0,16.0,1172.0
